id,total_receipts,total_error,paid_receipts,paid_error,unpaid_receipts,unpaid_error
251,931973,11.1,764525,14.4,167447,10.8
252,3658270,6.1,3156226,8.6,502045,14.9
253,S,S,S,S,S,S
254,5420,42.9,5401,44.5,S,S
255,14029,42.1,S,S,S,S
256,S,S,S,S,S,S
257,S,S,S,S,S,S
258,839391245,0.6,713367724,0.8,126023521,0.5
259,130541642,0.9,97115274,1.1,33426368,1.2
260,653142601,0.7,570370309,0.9,82772292,0.9
261,55707002,2.7,45882141,3.1,9824861,3.1
262,679529557,0.7,591672558,0.9,87856999,0.8
263,59038386,2.5,48401259,2.9,10637128,3.0
264,877237881,0.6,742626210,0.8,134611671,0.4
265,846703726,0.5,841987809,0.2,S,S
266,199328,23.0,139400,33.5,59928,11.1
267,716781,14.9,613049,18.4,103732,13.2
268,S,S,S,S,S,S
269,594735,9.1,504759,11.5,89976,9.3
270,155560,26.4,121212,34.7,34348,10.5
271,426759,12.1,372161,14.7,54598,14.4
272,751435586,0.7,639213533,0.9,112222053,0.5
273,14862002,2.5,10659121,3.2,4202881,1.7
274,2888444,4.9,2018464,3.8,869980,12.5
275,67181769,2.4,58195705,2.9,8986064,2.4
276,895127,11.1,751024,13.5,144103,8.4
277,1740525,5.0,1423391,7.2,317134,12.0
278,877237881,0.6,742626210,0.8,134611671,0.4
279,S,S,S,S,S,S
280,86362,9.5,60191,4.4,26172,29.4
281,10116,16.2,S,S,7887,7.9
282,76233,10.6,57962,2.6,18271,42.7
283,S,S,S,S,S,S
284,846703726,0.5,841987809,0.2,S,S
285,54754,27.1,39526,39.9,15228,38.3
286,S,S,S,S,S,S
287,32391,14.5,25087,19.8,7304,27.9
288,S,S,S,S,S,S
289,214043,44.9,S,S,39141,14.4
290,23616,7.5,12943,12.0,10673,12.6
291,187466,49.5,S,S,26079,22.2
292,S,S,S,S,S,S
293,7089697,7.3,5406082,8.8,1683615,6.8
294,1741362,9.9,1201056,14.0,540306,4.2
295,5109308,10.4,4013016,12.4,1096292,10.2
296,239027,25.3,192011,33.0,47016,16.6
297,121408852,1.5,99072298,2.0,22336554,1.4
298,28007903,2.1,20458311,3.0,7549591,2.2
299,87227212,1.8,73736413,2.2,13490799,1.9
300,6173738,7.8,4877574,9.8,1296163,7.2
301,10252351,3.2,8716746,3.7,1535604,6.1
302,396293,14.3,349790,18.1,46503,29.6
303,782910623,0.7,663709835,0.9,119200787,0.4
304,4996234,7.2,4554589,8.2,441645,24.5
305,4859824,4.1,3812368,6.5,1047457,7.4
306,745576678,0.7,634837165,0.9,110739513,0.5
307,110265742,0.7,81744292,0.8,28521450,1.5
308,587306112,0.8,513381557,1.0,73924555,0.9
309,118040674,0.7,86851159,0.8,31189515,1.3
310,613465023,0.8,534532195,1.1,78932828,0.7
311,51404926,2.6,42326482,3.0,9078444,3.2
312,15682967,2.4,11281769,3.1,4401197,1.8
313,48004824,3.0,39711317,3.6,8293507,3.4
314,877237881,0.6,742626210,0.8,134611671,0.4
315,4756256,5.2,2931884,9.0,1824372,2.4
316,10356485,3.2,7938945,4.2,2417540,2.7
317,570226,7.9,410940,12.9,159285,11.1
318,3168244,4.6,2193127,4.1,975117,11.2
319,846703726,0.5,841987809,0.2,S,S
320,33525181,3.8,25584292,4.8,7940889,3.3
321,752631,7.1,441867,11.0,310764,7.8
322,2379729,7.1,1726617,6.2,653112,16.4
323,35884,18.3,24643,21.8,11241,38.1
324,67766453,2.4,58666210,2.9,9100243,2.4
325,14653641,3.7,11746634,4.7,2907007,4.4
326,5509,7.7,5509,8.0,0,0.0
327,730,0.2,730,0.2,0,0.0
328,4778,8.8,4778,9.2,0,0.0
329,0,0.0,0,0.0,0,0.0
330,64859,3.5,64859,3.6,0,0.0
331,S,S,S,S,S,S
332,0,0.0,0,0.0,0,0.0
333,0,0.0,0,0.0,0,0.0
334,0,0.0,0,0.0,0,0.0
335,0,0.0,0,0.0,0,0.0
336,S,S,S,S,S,S
337,57045194,1.7,57045194,1.8,0,0.0
338,4806274,5.2,4806274,5.4,0,0.0
339,49648534,1.8,49648534,1.9,0,0.0
340,2590386,7.5,2590386,7.8,0,0.0
341,S,S,S,S,S,S
342,63685,3.4,63685,3.5,0,0.0
343,S,S,S,S,S,S
344,11747,2.9,11747,3.0,0,0.0
345,S,S,S,S,S,S
346,10974,2.6,10974,2.7,0,0.0
347,54949670,1.9,54949670,1.9,0,0.0
348,445703,25.3,445703,26.3,0,0.0
349,152281,6.5,152281,6.7,0,0.0
350,1493008,9.9,1493008,10.2,0,0.0
351,11747,2.9,11747,3.0,0,0.0
352,27020,43.6,27020,45.4,0,0.0
353,58916087,1.6,58916087,1.6,0,0.0
354,307226000,0.8,307226000,0.8,0,0.0
355,4854192,5.1,4854192,5.3,0,0.0
356,51301786,1.7,51301786,1.8,0,0.0
357,2760109,7.0,2760109,7.3,0,0.0
358,0,0.0,0,0.0,0,0.0
359,8607,6.1,8607,6.3,0,0.0
360,0,0.0,0,0.0,0,0.0
361,8607,6.1,8607,6.3,0,0.0
362,0,0.0,0,0.0,0,0.0
363,248309914,0.9,248309914,1.0,0,0.0
364,58916087,1.6,58916087,1.6,0,0.0
365,248309914,0.9,248309914,1.0,0,0.0
366,S,S,S,S,S,S
367,S,S,S,S,S,S
368,0,0.0,0,0.0,0,0.0
369,0,0.0,0,0.0,0,0.0
370,0,0.0,0,0.0,0,0.0
371,0,0.0,0,0.0,0,0.0
372,0,0.0,0,0.0,0,0.0
373,0,0.0,0,0.0,0,0.0
374,S,S,S,S,S,S
375,0,0.0,0,0.0,0,0.0
376,S,S,S,S,S,S
377,0,0.0,0,0.0,0,0.0
378,100683,14.1,100683,14.7,0,0.0
379,11396,25.4,11396,26.4,0,0.0
380,85667,13.6,85667,14.2,0,0.0
381,3621,2.3,3621,2.4,0,0.0
382,3829382,7.1,3829382,7.4,0,0.0
383,454750,24.7,454750,25.7,0,0.0
384,3281723,6.3,3281723,6.5,0,0.0
385,92909,6.5,92909,6.8,0,0.0
386,234220,25.8,234220,26.9,0,0.0
387,S,S,S,S,S,S
388,42690,40.6,42690,42.3,0,0.0
389,190283,30.6,190283,31.9,0,0.0
390,54852484,1.9,54852484,1.9,0,0.0
391,4398194,4.8,4398194,5.0,0,0.0
392,47977373,2.0,47977373,2.0,0,0.0
393,2476917,7.7,2476917,8.0,0,0.0
394,58916087,1.6,58916087,1.6,0,0.0
395,56710859,1.7,56710859,1.8,0,0.0
396,4460659,4.7,4460659,4.9,0,0.0
397,49625369,1.9,49625369,1.9,0,0.0
398,2624830,7.2,2624830,7.5,0,0.0
399,248309914,0.9,248309914,1.0,0,0.0
400,453132,25.4,453132,26.4,0,0.0
401,70665,4.8,70665,5.0,0,0.0
402,371801,30.4,371801,31.6,0,0.0
403,10666,3.5,10666,3.6,0,0.0
404,1713067,8.2,1713067,8.5,0,0.0
405,46711,9.6,46711,9.9,0,0.0
406,1624944,8.5,1624944,8.8,0,0.0
407,41412,12.1,41412,12.6,0,0.0
408,152471,6.4,152471,6.7,0,0.0
409,13674,7.0,13674,7.3,0,0.0
410,138213,7.0,138213,7.3,0,0.0
411,584,0.4,584,0.4,0,0.0
412,1493531,9.8,1493531,10.2,0,0.0
413,1650446,8.5,1650446,8.8,0,0.0
414,7429,39.0,7429,40.5,0,0.0
415,S,S,S,S,S,S
416,S,S,S,S,S,S
417,0,0.0,0,0.0,0,0.0
418,66086,4.5,66086,4.7,0,0.0
419,394770,4.5,394770,4.6,0,0.0
420,28343,4.9,28343,5.1,0,0.0
421,342448,4.7,342448,4.9,0,0.0
422,23979,20.8,23979,21.7,0,0.0
423,318600,34.7,318600,36.1,0,0.0
424,1136322,10.5,1136322,10.9,0,0.0
425,38609,8.3,38609,8.6,0,0.0
426,591693,20.2,591693,21.0,0,0.0
427,S,S,S,S,S,S
428,584630,20.4,584630,21.2,0,0.0
429,5055,30.4,5055,31.6,0,0.0
430,43858,9.6,43858,10.0,0,0.0
431,S,S,S,S,S,S
432,39726,7.5,39726,7.8,0,0.0
433,S,S,S,S,S,S
434,953518,6.1,953518,6.4,0,0.0
435,2550,36.1,2550,37.5,0,0.0
436,567669,20.4,567669,21.2,0,0.0
437,298174,37.1,298174,38.6,0,0.0
438,252156,14.7,252156,15.3,0,0.0
439,17339,10.5,17339,11.0,0,0.0
440,934844,6.1,934844,6.4,0,0.0
441,16124,6.2,16124,6.4,0,0.0
442,214627,14.6,214627,15.2,0,0.0
443,11630,36.2,11630,37.6,0,0.0
444,202053,15.7,202053,16.3,0,0.0
445,944,2.7,944,2.8,0,0.0
446,18278,19.6,18278,20.4,0,0.0
447,4202,4.4,4202,4.6,0,0.0
448,14076,25.3,14076,26.4,0,0.0
449,0,0.0,0,0.0,0,0.0
450,149893,14.6,149893,15.2,0,0.0
451,1315,7.4,1315,7.7,0,0.0
452,157825,37.8,157825,39.3,0,0.0
453,S,S,S,S,S,S
454,S,S,S,S,S,S
455,128310,44.5,128310,46.3,0,0.0
456,143452,15.3,143452,15.9,0,0.0
457,5127,0.4,5127,0.4,0,0.0
458,89954,4.8,89954,5.0,0,0.0
459,11209,3.8,11209,3.9,0,0.0
460,74559,6.2,74559,6.5,0,0.0
461,4186,1.0,4186,1.0,0,0.0
462,1153073,18.4,972577,22.4,180496,7.2
463,577424,33.6,474593,40.8,102830,13.4
464,488848,25.0,415321,30.2,73527,10.3
465,86802,31.1,82663,34.5,4140,35.3
466,1750325,8.8,1577844,9.3,172481,17.2
467,389457,23.1,301316,26.3,88140,31.4
468,1031930,8.9,953497,11.1,78433,22.9
469,57283270,1.8,43552962,2.3,13730308,1.2
470,18057496,4.9,11495710,7.6,6561787,1.3
471,35681141,3.0,29123894,3.8,6557246,1.8
472,3544633,6.3,2933358,7.8,611275,9.0
473,328938,45.9,323030,48.5,S,S
474,1903802,17.2,1654960,19.8,248842,11.0
475,652294,36.5,590796,41.5,61499,7.6
476,1159403,21.4,995520,26.2,163883,15.2
477,92105,28.7,68645,38.9,23460,39.6
478,4350443,7.3,4012816,8.4,337627,13.4
479,206519,20.4,194339,23.0,S,S
480,1708019,12.9,1658883,13.7,S,S
481,2435904,8.5,2159594,9.6,276311,11.6
482,356266390,1.3,329956354,1.4,26310036,0.9
483,62064925,3.1,53457230,3.5,8607695,1.9
484,261321660,1.2,245939398,1.3,15382262,1.8
485,32879805,4.4,30559727,5.1,2320079,3.3
486,2809024,12.1,2595479,13.7,213546,14.7
487,152050,24.2,144084,27.0,S,S
488,990396,21.4,977685,22.7,12711,29.8
489,1666579,13.4,1473710,15.5,192869,15.0
490,740647688,0.6,699748840,0.7,40898848,0.8
491,417900103,1.1,377522132,1.3,40377971,0.8
492,322747585,0.4,322226708,0.4,520877,6.8
493,2269717,12.4,2111679,14.1,158038,19.5
494,S,S,S,S,S,S
495,0,0.0,0,0.0,0,0.0
496,S,S,S,S,S,S
497,S,S,S,S,S,S
498,44635,8.9,S,S,S,S
499,388546230,1.2,356755543,1.4,31790687,0.9
500,71475023,2.6,60508663,3.1,10966360,1.6
501,281481262,1.0,263271941,1.1,18209321,1.7
502,35589944,4.1,32974939,4.8,2615006,2.8
503,80328941,2.3,65147279,2.8,15181662,1.2
504,298710820,1.0,276722175,1.1,21988645,1.3
505,38860343,4.0,35652678,4.7,3207664,3.0
506,417900103,1.1,377522132,1.3,40377971,0.8
507,322747585,0.4,322226708,0.4,520877,6.8
508,26544849,3.3,18171110,4.8,8373738,1.0
509,8701868,5.3,4494532,10.7,4207336,1.4
510,16239162,4.6,12472549,6.2,3766613,1.7
511,1603819,11.5,1204029,18.2,399789,11.0
512,358262350,1.3,331493165,1.4,26769184,1.0
513,12037369,3.9,8833792,5.5,3203577,1.7
514,2478318,6.6,2180698,8.0,297620,5.3
515,15003737,5.2,13401673,6.1,1602064,4.6
516,412129,8.8,314875,11.8,97254,12.2
517,648794,16.4,437403,15.1,211391,23.6
518,417900103,1.1,377522132,1.3,40377971,0.8
519,19118283,3.7,13958157,5.1,5160127,1.5
520,310454,10.8,144379,22.6,166074,3.0
521,202494,11.4,82356,25.8,120138,6.7
522,371549,37.8,322636,42.1,48913,21.5
523,37202,13.3,15970,24.2,21232,20.4
524,7422763,3.6,4218257,5.6,3204506,2.3
525,13466008,3.7,8945320,6.0,4520688,2.0
526,322747585,0.4,322226708,0.4,520877,6.8
527,3764247,5.6,1720461,14.1,2043787,2.1
528,8809530,5.0,6576888,6.8,2232641,3.4
529,892231,16.8,647971,26.0,244260,13.1
530,1891597,5.3,1465729,6.7,425868,2.5
531,487131,13.3,253789,27.7,233342,4.7
532,1348953,6.7,1165665,8.2,183289,5.7
533,S,S,S,S,S,S
534,2712234,10.3,2164799,13.4,547435,4.5
535,876480,12.6,593247,18.6,283233,6.7
536,1640625,13.5,1401518,16.1,239107,8.4
537,195130,41.4,170035,50.0,25095,28.3
538,8306659,6.2,5472006,10.0,2834653,1.5
539,3567858,13.7,1922427,27.2,1645431,2.5
540,4422917,5.3,3320111,7.3,1102806,3.7
541,315884,19.0,229468,25.4,86416,14.2
542,699831,17.9,507566,28.2,192265,10.1
543,178311,9.2,105570,11.2,72741,13.1
544,486835,25.0,373647,36.9,113188,15.7
545,S,S,S,S,S,S
546,1816932,48.6,S,S,183014,9.0
547,S,S,S,S,S,S
548,882105,5.1,784794,6.2,97310,11.8
549,28663,35.8,9657,17.5,S,S
550,379650350,1.2,347563001,1.4,32087349,0.8
551,68639767,2.8,57263324,3.3,11376443,1.4
552,275526401,1.1,257569710,1.2,17956691,1.6
553,35484183,4.4,32729968,5.2,2754215,3.6
554,449463,8.0,330977,11.2,118486,9.9
555,164412,15.2,118020,22.1,46392,13.1
556,280087,11.9,212040,14.6,68047,15.1
557,4964,34.5,S,S,4047,41.0
558,12349147,3.8,8978607,5.5,3370541,1.6
559,4239660,3.8,2611618,6.6,1628043,0.9
560,7674618,5.4,6005157,7.1,1669461,2.9
561,434869,6.3,361832,7.5,73037,12.4
562,256769,8.5,190682,13.9,66087,17.0
563,61560,35.5,S,S,24253,22.5
564,193006,9.9,153375,10.6,39631,27.4
565,2203,43.5,0,0.0,2203,41.5
566,82825,7.1,69184,6.0,13641,24.8
567,51990,3.6,47252,4.0,4738,19.6
568,30821,20.4,21932,19.8,8889,39.5
569,S,S,S,S,S,S
570,2680812,5.8,2263054,7.5,417758,4.1
571,571652,14.7,373657,23.6,197996,5.5
572,2088010,7.2,1878961,8.8,209049,6.5
573,21149,31.4,10436,48.9,10713,49.8
574,18778,27.4,8187,49.5,10591,22.1
575,4298,13.1,S,S,4244,12.4
576,14348,32.9,S,S,6347,35.2
577,S,S,S,S,S,S
578,15386007,5.1,13724309,5.9,1661698,5.2
579,4759362,19.7,4127931,23.6,631431,5.7
580,9337444,3.9,8409770,4.4,927674,7.0
581,1289202,16.5,1186607,18.1,102594,17.4
582,93151,32.3,S,S,30873,10.4
583,47033,7.8,33407,6.9,13626,22.0
584,S,S,S,S,S,S
585,S,S,S,S,S,S
586,4646226,3.7,4282263,3.8,363962,15.3
587,1245420,7.6,1151260,8.4,94159,17.1
588,2953068,3.2,2709300,3.2,243768,16.7
589,447738,20.9,421702,22.7,26035,48.3
590,8116192,3.6,4698239,4.9,3417953,3.2
591,2701661,4.0,979170,14.0,1722491,2.7
592,4852695,3.8,3290934,4.5,1561760,3.8
593,561836,15.5,428135,20.3,133701,29.2
594,3662507,8.2,3313672,9.0,348835,7.8
595,1105313,18.8,946882,23.1,158430,11.8
596,2310520,8.4,2129052,9.2,181468,7.3
597,246674,34.4,237737,36.8,8938,26.2
598,44798906,0.8,38195305,0.9,6603601,1.6
599,12166451,2.4,8863489,3.7,3302962,2.1
600,26919663,1.4,24159934,1.5,2759730,2.4
601,5712791,2.3,5171882,3.0,540909,7.4
602,264326,7.8,195870,10.3,68456,10.3
603,106302,13.9,67287,21.8,39015,9.2
604,149680,9.9,121212,10.4,28468,20.5
605,8343,9.1,S,S,S,S
606,3047032,7.1,2507558,9.0,539474,6.2
607,759668,11.0,581175,14.8,178493,4.6
