id,total_receipts,total_error,paid_receipts,paid_error,unpaid_receipts,unpaid_error
1210,1900374,8.8,1501931,11.5,398443,16.1
1211,6494676,3.9,2260899,10.8,4233777,2.1
1212,2162791,2.8,294636,14.6,1868156,2.7
1213,3987316,5.9,1751696,13.3,2235619,2.3
1214,344569,20.8,214568,25.7,130002,30.5
1215,119225,25.8,89582,34.1,29642,23.0
1216,537817,19.0,438169,19.1,S,S
1217,1243332,7.6,974179,10.6,269152,10.6
1218,1334787,8.3,1052495,9.7,282293,18.3
1219,S,S,S,S,S,S
1220,55541678,1.5,25306881,3.1,30234797,0.9
1221,21400714,1.3,5829755,3.8,15570959,1.2
1222,28466040,2.3,15383933,4.1,13082107,1.3
1223,5674924,4.6,4093192,6.5,1581731,10.5
1224,S,S,S,S,S,S
1225,8191,39.1,S,S,S,S
1226,S,S,S,S,S,S
1227,S,S,S,S,S,S
1228,243766373,0.7,175572632,1.2,68193741,0.6
1229,53659092,1.1,25631236,1.8,28027856,0.7
1230,155598456,0.9,121264169,1.4,34334287,0.8
1231,34508825,2.9,28677227,3.4,5831598,3.6
1232,3101391,5.8,2354540,6.3,746851,9.4
1233,183580,14.5,142321,16.6,41259,26.3
1234,859973,13.3,736302,12.0,S,S
1235,2057839,4.2,1475917,4.9,581922,6.4
1236,209484687,0.9,159496511,1.3,49988176,0.8
1237,10427589,1.4,2382211,6.2,8045379,0.4
1238,1470636,7.2,869230,11.6,601405,3.0
1239,22679492,1.8,12618853,3.4,10060640,1.7
1240,430484,44.6,S,S,S,S
1241,393328,7.6,170636,13.4,222692,5.1
1242,265917236,0.7,185959517,1.0,79957719,0.6
1243,224742140,0.8,167310932,1.1,57431208,0.8
1244,43805912,1.3,22829921,2.5,20975991,0.9
1245,149059938,0.9,117755111,1.2,31304827,0.9
1246,31876290,2.8,26725900,3.5,5150390,3.8
1247,207274167,1.0,158298096,1.3,48976072,0.8
1248,38661947,1.6,21235388,2.4,17426559,1.0
1249,139077443,1.1,112001658,1.5,27075785,1.0
1250,29534777,2.9,25061051,3.5,4473727,4.2
1251,50500535,1.5,50179205,1.5,321330,14.0
1252,10905608,1.4,2490480,6.1,8415127,0.3
1253,6229978,1.3,599003,10.9,5630975,0.5
1254,4252235,2.9,1578095,8.5,2674140,1.2
1255,423395,9.1,313383,13.3,110012,11.9
1256,265917236,0.7,185959517,1.0,79957719,0.6
1257,50500535,1.5,50179205,1.5,321330,14.0
1258,1704260,6.5,901587,11.4,802674,3.1
1259,587138,9.2,182665,30.1,404473,5.8
1260,1080118,8.6,695926,13.5,384192,3.6
1261,37005,16.9,22995,19.1,14010,34.7
1262,20250490,2.9,8884954,6.1,11365536,1.9
1263,6467924,2.8,1486646,10.9,4981278,3.1
1264,12267183,4.8,6419554,8.1,5847628,2.3
1265,1515383,7.1,978754,11.1,536629,13.0
1266,22903077,1.7,12705449,3.4,10197628,1.7
1267,8455898,1.8,3523871,5.5,4932027,2.4
1268,11035679,1.8,6675240,3.0,4360440,3.1
1269,3411499,7.4,2506338,7.3,905162,14.6
1270,13922665,3.7,6761926,7.6,7160739,2.1
1271,471937,9.2,103783,35.0,368154,5.2
1272,232474,9.8,31345,41.3,201129,7.5
1273,215393,17.7,82760,18.7,132633,27.6
1274,27299,13.9,5639,40.9,21660,11.6
1275,6099079,4.0,2088314,11.2,4010764,2.2
1276,9967192,4.0,4522455,9.0,5444737,2.6
1277,3145771,3.8,720843,13.8,2424928,4.8
1278,974991,18.2,655065,3.4,S,S
1279,217964,6.1,199884,5.4,18080,31.9
1280,625288,20.8,395709,4.0,S,S
1281,131739,34.5,59472,11.1,S,S
1282,11661,19.2,11661,20.0,0,0.0
1283,45728,37.1,28016,14.1,S,S
1284,S,S,S,S,S,S
1285,20564,22.3,15477,19.5,S,S
1286,3620,40.2,3620,41.8,0,0.0
1287,43514,18.6,22552,13.4,20962,30.6
1288,12118,18.4,11132,21.6,S,S
1289,26345,20.6,10660,13.2,15685,32.3
1290,S,S,S,S,S,S
1291,31234,22.2,15372,12.5,15863,39.5
1292,1925,23.8,1736,20.9,S,S
1293,1322,27.9,1134,17.3,S,S
1294,S,S,S,S,S,S
1295,S,S,S,S,S,S
1296,S,S,S,S,S,S
1297,S,S,S,S,S,S
1298,0,0.0,0,0.0,0,0.0
1299,0,0.0,0,0.0,0,0.0
1300,12525,25.7,7384,25.4,5141,39.3
1301,28521,24.0,10023,13.3,18499,34.2
1302,3838,33.3,2874,45.4,S,S
1303,19773,25.4,6530,14.1,13243,35.5
1304,S,S,S,S,S,S
1305,66436,11.2,47793,12.1,18643,34.8
1306,26109,13.9,15600,16.9,10510,32.9
1307,34493,18.0,27067,19.0,S,S
1308,5833,35.8,5126,34.1,S,S
1309,1983,45.5,S,S,S,S
1310,S,S,S,S,S,S
1311,828,47.8,S,S,S,S
1312,0,0.0,0,0.0,0,0.0
1313,S,S,S,S,S,S
1314,0,0.0,0,0.0,0,0.0
1315,S,S,S,S,S,S
1316,0,0.0,0,0.0,0,0.0
1317,25582,24.9,22289,28.1,S,S
1318,2467,45.0,S,S,S,S
1319,19140,28.2,16866,31.1,S,S
1320,3975,27.2,3267,23.6,S,S
1321,15659,20.9,8268,28.6,7391,30.3
1322,12747,24.6,5356,42.5,7391,30.3
1323,1935,17.5,1935,18.2,0,0.0
1324,S,S,S,S,S,S
1325,12351,17.1,10617,22.9,S,S
1326,7124,20.5,7103,21.3,S,S
1327,5227,26.1,3513,34.7,S,S
1328,0,0.0,0,0.0,0,0.0
1329,2643,41.5,2643,43.2,0,0.0
1330,2643,41.5,2643,43.2,0,0.0
1331,0,0.0,0,0.0,0,0.0
1332,0,0.0,0,0.0,0,0.0
1333,2344,47.0,2344,48.9,0,0.0
1334,0,0.0,0,0.0,0,0.0
1335,0,0.0,0,0.0,0,0.0
1336,2344,47.0,2344,48.9,0,0.0
1337,2444,13.1,2444,13.6,0,0.0
1338,2094,10.6,2094,11.0,0,0.0
1339,S,S,S,S,S,S
1340,0,0.0,0,0.0,0,0.0
1341,13025,31.5,7741,19.9,S,S
1342,4404,38.5,3160,36.3,S,S
1343,8525,44.0,4484,35.5,S,S
1344,S,S,S,S,S,S
1345,S,S,S,S,S,S
1346,S,S,S,S,S,S
1347,0,0.0,0,0.0,0,0.0
1348,0,0.0,0,0.0,0,0.0
1349,0,0.0,0,0.0,0,0.0
1350,0,0.0,0,0.0,0,0.0
1351,1056476,16.0,715807,2.9,340669,46.0
1352,255619,7.8,215369,5.3,40251,39.6
1353,663292,18.4,431556,3.9,231736,48.9
1354,137565,33.4,68882,12.3,S,S
1355,S,S,S,S,S,S
1356,268,33.7,190,49.4,S,S
1357,S,S,S,S,S,S
1358,0,0.0,0,0.0,0,0.0
1359,941981,18.3,637918,3.5,S,S
1360,45520,36.9,27811,13.7,S,S
1361,1669,20.4,1480,21.8,S,S
1362,66436,11.2,47793,12.1,18643,34.8
1363,660,35.4,660,36.9,0,0.0
1364,364,5.8,110,20.1,S,S
1365,1102334,15.7,740703,2.9,361631,44.3
1366,S,S,S,S,S,S
1367,S,S,S,S,S,S
1368,S,S,S,S,S,S
1369,S,S,S,S,S,S
1370,660,35.4,660,36.9,0,0.0
1371,11661,19.2,11661,20.0,0,0.0
1372,1113994,15.6,752363,2.8,361631,44.3
1373,S,S,S,S,S,S
1374,644,36.3,644,37.8,0,0.0
1375,0,0.0,0,0.0,0,0.0
1376,S,S,S,S,S,S
1377,0,0.0,0,0.0,0,0.0
1378,S,S,S,S,S,S
1379,0,0.0,0,0.0,0,0.0
1380,267737,7.4,226501,5.0,41236,38.5
1381,689637,18.3,442216,3.9,247421,47.7
1382,144960,31.5,71986,11.3,S,S
1383,1102334,15.7,740703,2.9,361631,44.3
1384,11661,19.2,11661,20.0,0,0.0
1385,429,6.7,429,6.9,0,0.0
1386,0,0.0,0,0.0,0,0.0
1387,429,6.7,429,6.9,0,0.0
1388,0,0.0,0,0.0,0,0.0
1389,0,0.0,0,0.0,0,0.0
1390,0,0.0,0,0.0,0,0.0
1391,0,0.0,0,0.0,0,0.0
1392,0,0.0,0,0.0,0,0.0
1393,S,S,S,S,S,S
1394,S,S,S,S,S,S
1395,S,S,S,S,S,S
1396,0,0.0,0,0.0,0,0.0
1397,12889,25.0,7494,25.1,5395,37.4
1398,4421,34.7,4355,36.7,S,S
1399,8322,35.9,2993,35.9,5329,37.9
1400,S,S,S,S,S,S
1401,158626,12.6,100870,8.1,57756,28.3
1402,61232,27.2,36924,11.7,S,S
1403,82605,8.6,54156,10.8,28449,19.0
1404,14790,45.7,9791,23.1,S,S
1405,7912,20.4,7480,22.1,S,S
1406,0,0.0,0,0.0,0,0.0
1407,2474,16.7,2042,8.6,S,S
1408,5438,29.1,5438,30.3,0,0.0
1409,935795,18.4,632352,3.5,S,S
1410,206505,6.5,189578,5.9,16928,34.7
1411,604559,20.6,386018,4.0,S,S
1412,124732,36.6,56756,12.1,S,S
1413,1102334,15.7,740703,2.9,361631,44.3
1414,518,5.1,S,S,247,2.8
1415,S,S,S,S,S,S
1416,0,0.0,0,0.0,0,0.0
1417,11141,14.1,10657,15.6,S,S
1418,291,5.6,S,S,S,S
1419,482447522,0.8,480640055,0.8,1807467,8.0
1420,10850,14.4,10386,15.9,S,S
1421,0,0.0,0,0.0,0,0.0
1422,S,S,S,S,S,S
1423,S,S,S,S,S,S
1424,S,S,S,S,S,S
1425,0,0.0,0,0.0,0,0.0
1426,S,S,S,S,S,S
1427,S,S,S,S,S,S
1428,0,0.0,0,0.0,0,0.0
1429,0,0.0,0,0.0,0,0.0
1430,S,S,S,S,S,S
1431,S,S,S,S,S,S
1432,S,S,S,S,S,S
1433,0,0.0,0,0.0,0,0.0
1434,739257,29.6,456386,31.4,S,S
1435,S,S,S,S,S,S
1436,560338,36.4,281918,23.8,S,S
1437,16085,25.5,15501,28.9,S,S
1438,4192654,9.3,3487112,10.4,705542,30.6
1439,588902,25.2,509433,30.6,79469,14.6
1440,3333157,12.8,2725787,14.0,607370,36.3
1441,270594,44.0,251892,49.9,S,S
1442,872389,24.1,761201,30.3,111187,35.3
1443,0,0.0,0,0.0,0,0.0
1444,482587,41.0,460698,45.9,S,S
1445,389802,11.7,300504,15.3,89298,32.7
1446,107666439,3.0,99412220,3.4,8254219,6.6
1447,12099823,4.1,11164268,4.4,935555,5.8
1448,87304507,3.5,81630802,4.0,5673704,5.4
1449,8262109,7.3,6617150,8.3,1644960,17.2
1450,112731481,3.0,103660533,3.4,9070948,6.6
1451,482447522,0.8,480640055,0.8,1807467,8.0
1452,2394920,10.2,1875875,11.9,519045,42.6
1453,341328,43.9,S,S,32305,34.2
1454,532214,24.2,434074,30.9,98140,25.5
1455,76134,34.8,64807,40.8,11327,25.0
1456,455605,28.4,369097,36.4,86508,29.9
1457,S,S,S,S,S,S
1458,1810227,12.5,1335903,11.6,474324,47.3
1459,243365,48.9,S,S,S,S
1460,1677655,11.4,1438089,13.2,239565,20.9
1461,9974,29.2,8689,35.0,1284,4.3
1462,2689,13.3,S,S,2195,9.5
1463,S,S,S,S,S,S
1464,243,3.1,0,0.0,243,2.9
1465,715490,30.6,435158,32.8,S,S
1466,2100795,12.1,1618349,13.5,482446,45.9
1467,995170,17.7,933705,19.7,61465,6.6
1468,163640,4.0,133359,5.2,30281,3.1
1469,810420,21.8,782650,23.5,27770,12.9
1470,21110,28.2,17696,30.9,3414,29.0
1471,175948,5.4,165999,5.4,9949,29.7
1472,S,S,S,S,S,S
1473,S,S,S,S,S,S
1474,1604456,14.6,1159809,12.7,S,S
1475,S,S,S,S,S,S
1476,2086,37.5,0,0.0,2086,35.7
1477,588,26.9,0,0.0,588,25.6
1478,S,S,S,S,S,S
1479,S,S,S,S,S,S
1480,108590,9.2,100731,9.7,7859,40.0
1481,S,S,S,S,S,S
1482,351795,46.8,S,S,11593,17.9
1483,71830,5.7,69567,6.1,2263,24.2
1484,S,S,S,S,S,S
1485,5292,16.8,S,S,1827,44.6
1486,5461,21.8,S,S,4587,18.7
1487,S,S,S,S,S,S
1488,4252,21.4,0,0.0,4252,20.4
1489,0,0.0,0,0.0,0,0.0
1490,8339,29.6,S,S,S,S
1491,4797,7.7,S,S,673,27.2
1492,S,S,S,S,S,S
1493,0,0.0,0,0.0,0,0.0
1494,262493,14.8,232722,18.0,29772,18.1
1495,69599,8.7,63981,10.1,5618,19.3
1496,179437,17.8,155603,22.1,23833,22.2
1497,S,S,S,S,S,S
1498,560751,35.0,516900,40.4,S,S
1499,S,S,S,S,S,S
1500,2350,8.2,S,S,1002,10.8
1501,S,S,S,S,S,S
1502,0,0.0,0,0.0,0,0.0
1503,5142,26.0,3144,44.3,1998,20.9
1504,2019,5.2,S,S,395,7.7
1505,3109,43.2,S,S,1588,26.2
1506,S,S,S,S,S,S
1507,0,0.0,0,0.0,0,0.0
1508,S,S,S,S,S,S
1509,167506,20.0,143442,23.5,24064,30.7
1510,497276,39.9,457683,46.1,S,S
1511,0,0.0,0,0.0,0,0.0
1512,S,S,S,S,S,S
1513,S,S,S,S,S,S
1514,S,S,S,S,S,S
1515,7236,7.4,S,S,229,45.5
1516,0,0.0,0,0.0,0,0.0
1517,0,0.0,0,0.0,0,0.0
1518,0,0.0,0,0.0,0,0.0
1519,0,0.0,0,0.0,0,0.0
1520,109775810,3.1,101267759,3.4,8508052,6.3
1521,12347397,3.9,11364678,4.2,982719,5.7
1522,88916779,3.5,83107926,4.0,5808853,5.1
1523,8511635,7.1,6795155,8.1,1716480,16.3
1524,108054,32.3,81553,43.8,26501,2.3
1525,S,S,S,S,S,S
1526,83763,41.7,81553,43.8,2210,28.0
1527,0,0.0,0,0.0,0,0.0
1528,S,S,S,S,S,S
1529,108028910,3.0,99649548,3.4,8379361,6.4
1530,54495,12.9,28786,25.2,25709,13.1
1531,529525,24.4,433580,30.9,95945,26.0
1532,994532,17.7,933705,19.7,60827,6.6
1533,S,S,S,S,S,S
1534,23766,24.6,21228,27.1,2538,42.4
1535,112731481,3.0,103660533,3.4,9070948,6.6
1536,110203841,3.1,101545321,3.4,8658520,6.1
1537,12297796,4.1,11326318,4.4,971478,6.0
1538,89235488,3.4,83270737,3.9,5964751,5.0
1539,8670556,7.4,6948266,8.5,1722290,16.1
1540,64469,10.6,37476,19.8,26993,12.5
1541,9140,23.1,S,S,7558,21.5
1542,51995,15.4,32815,23.4,19181,19.0
1543,3333,9.4,3078,10.1,255,34.6
1544,595179003,0.7,584300589,0.8,10878415,5.8
1545,12688725,3.9,11673701,4.3,1015024,5.6
1546,91120251,3.4,84817287,3.9,6302964,7.2
1547,8922505,7.2,7169545,8.3,1752960,15.7
1548,112731481,3.0,103660533,3.4,9070948,6.6
1549,482447522,0.8,480640055,0.8,1807467,8.0
1550,S,S,S,S,S,S
1551,S,S,S,S,S,S
1552,84,7.4,0,0.0,84,7.0
1553,49607,46.7,S,S,21405,14.5
1554,68927,38.3,S,S,22878,12.5
1555,4364,20.9,0,0.0,4364,19.9
1556,64375,40.3,S,S,18325,17.6
1557,S,S,S,S,S,S
1558,S,S,S,S,S,S
1559,S,S,S,S,S,S
1560,S,S,S,S,S,S
1561,0,0.0,0,0.0,0,0.0
1562,S,S,S,S,S,S
1563,667,16.9,0,0.0,667,16.1
1564,S,S,S,S,S,S
1565,85,13.0,0,0.0,85,12.4
1566,185099,10.3,S,S,35423,14.1
1567,S,S,S,S,S,S
1568,37273,29.5,S,S,27833,18.2
1569,S,S,S,S,S,S
1570,992295,9.4,979193,9.9,13103,47.9
1571,0,0.0,0,0.0,0,0.0
1572,984612,9.5,S,S,S,S
1573,7684,27.5,S,S,7470,27.0
1574,986207,9.4,S,S,S,S
1575,0,0.0,0,0.0,0,0.0
1576,0,0.0,0,0.0,0,0.0
1577,0,0.0,0,0.0,0,0.0
1578,0,0.0,0,0.0,0,0.0
1579,0,0.0,0,0.0,0,0.0
1580,24492817,2.5,23946177,2.7,546640,5.2
1581,980376,24.7,925572,27.4,54804,8.1
1582,22856195,2.5,22426993,2.7,429201,7.7
1583,656246,4.9,593612,5.3,62635,12.8
1584,23520307,2.6,23003425,2.8,516882,5.3
1585,25664,4.7,6635,6.7,19029,6.1
1586,189729,8.4,186994,8.9,2734,14.4
1587,755576,5.7,745783,6.1,9792,18.5
1588,409,6.0,S,S,402,6.1
1589,S,S,S,S,S,S
1590,25790457,2.1,25161050,2.3,629407,4.3
1591,502623287,2.1,502528289,2.2,94998,14.3
1592,S,S,S,S,S,S
1593,0,0.0,0,0.0,0,0.0
1594,S,S,S,S,S,S
1595,0,0.0,0,0.0,0,0.0
1596,216,3.7,0,0.0,216,3.5
1597,35,7.4,0,0.0,35,7.0
1598,181,5.8,0,0.0,181,5.5
1599,0,0.0,0,0.0,0,0.0
1600,50243,45.9,S,S,22041,13.7
1601,7621,12.7,S,S,7057,13.0
1602,S,S,S,S,S,S
1603,S,S,S,S,S,S
1604,1281238,4.0,1179268,4.7,101971,5.6
1605,381515,10.2,358909,11.1,22605,9.5
1606,872297,4.9,795836,5.8,76460,7.0
1607,S,S,S,S,S,S
1608,997312,9.3,983157,9.9,14156,45.0
1609,0,0.0,0,0.0,0,0.0
1610,986752,9.5,981008,9.9,S,S
1611,10560,20.4,S,S,8412,24.2
1612,23511906,2.6,22998625,2.8,513281,5.3
1613,791391,30.7,746452,34.1,44939,7.5
1614,22093844,2.6,21685018,2.7,408826,7.9
1615,626671,5.0,567155,5.3,59516,14.3
1616,25790457,2.1,25161050,2.3,629407,4.3
1617,502623287,2.1,502528289,2.2,94998,14.3
1618,305345,14.8,235680,19.9,69665,8.7
1619,192530,21.4,179789,24.1,12740,7.5
1620,112086,24.6,55891,48.1,56196,10.6
1621,S,S,S,S,S,S
1622,253064,17.5,207478,21.8,45586,12.1
1623,2927,6.2,0,0.0,2927,5.9
1624,179955,8.7,179120,9.1,835,7.3
1625,13328,23.2,6383,11.4,6946,42.3
1626,S,S,S,S,S,S
1627,755746,5.7,745783,6.1,9963,18.0
1628,3882,48.1,0,0.0,3882,45.9
1629,727704,6.0,722753,6.2,4951,19.1
1630,S,S,S,S,S,S
1631,S,S,S,S,S,S
1632,S,S,S,S,S,S
1633,S,S,S,S,S,S
1634,S,S,S,S,S,S
1635,S,S,S,S,S,S
1636,S,S,S,S,S,S
1637,S,S,S,S,S,S
1638,S,S,S,S,S,S
1639,1520,40.7,0,0.0,1520,38.8
1640,264,34.4,0,0.0,264,32.8
1641,S,S,S,S,S,S
1642,S,S,S,S,S,S
1643,2131,19.4,S,S,1146,33.9
1644,S,S,S,S,S,S
1645,1952,22.3,S,S,968,42.3
1646,S,S,S,S,S,S
1647,229,13.3,S,S,118,22.3
1648,S,S,S,S,S,S
1649,117,24.1,0,0.0,117,23.0
1650,S,S,S,S,S,S
1651,S,S,S,S,S,S
1652,122,8.6,0,0.0,122,8.2
1653,S,S,S,S,S,S
1654,493,6.1,S,S,486,6.1
1655,38,3.4,0,0.0,38,3.3
1656,312,6.5,S,S,305,6.6
1657,S,S,S,S,S,S
1658,269,7.4,S,S,262,7.6
1659,0,0.0,0,0.0,0,0.0
1660,126,10.2,S,S,119,10.5
1661,S,S,S,S,S,S
1662,S,S,S,S,S,S
1663,S,S,S,S,S,S
1664,0,0.0,0,0.0,0,0.0
1665,0,0.0,0,0.0,0,0.0
1666,528413744,2.1,527689339,2.2,724405,4.4
1667,1172906,21.0,1105362,23.3,67544,6.7
1668,S,S,S,S,S,S
1669,53807,4.8,52477,5.1,1331,14.0
1670,565,12.1,0,0.0,565,11.5
1671,53053,4.8,52477,5.1,576,23.0
1672,S,S,S,S,S,S
1673,23952893,2.1,23461863,2.2,491030,6.4
1674,664659,5.1,593825,5.3,70833,11.2
1675,25790457,2.1,25161050,2.3,629407,4.3
1676,502623287,2.1,502528289,2.2,94998,14.3
1677,24759578,2.2,24186186,2.4,573392,4.6
1678,981061,25.1,930477,27.7,50583,7.2
1679,23145173,2.1,22688340,2.2,456833,6.8
1680,633344,5.2,567369,5.3,65975,13.1
1681,28592,4.3,6635,6.7,21957,5.1
1682,5716,22.2,0,0.0,5716,21.2
1683,21998,3.5,6635,6.7,15363,4.0
1684,S,S,S,S,S,S
1685,194775,8.3,186994,8.9,7780,37.7
1686,55830007,3.2,38900840,4.6,16929167,2.6
1687,6516842,9.0,5030706,12.6,1486136,6.3
1688,46094504,3.8,31413334,5.4,14681170,2.8
1689,3218661,13.3,2456800,16.7,761861,13.6
1690,41739519,2.9,30866678,4.3,10872841,2.9
1691,506511,12.3,262269,19.7,244242,13.7
1692,504109,20.4,251333,37.4,252776,14.4
1693,11141919,6.4,8325857,9.1,2816061,4.1
1694,1401150,32.2,1144928,40.8,256222,3.8
1695,9429007,6.9,6940616,9.9,2488391,4.6
1696,311762,19.4,240313,27.9,71448,20.7
1697,236168,16.1,169487,22.5,66681,23.9
1698,39374,28.2,15248,20.0,24125,33.3
1699,14373542,6.4,8239104,11.2,6134439,2.6
1700,33318043,4.5,22512277,7.3,10805765,3.0
1701,3437746,5.7,2482559,8.6,955187,6.2
1702,28139754,5.7,18706683,8.9,9433071,2.9
1703,1740543,13.6,1323036,18.4,417507,14.4
1704,3109833,28.3,2521607,36.6,588226,9.8
1705,579279,41.8,532108,47.6,47171,11.2
1706,2448176,33.9,1973422,43.2,474754,5.8
1707,7401462,5.2,6124399,6.7,1277063,5.3
1708,1847981,13.6,1707188,14.5,140793,15.2
1709,5433661,6.2,4338297,8.9,1095365,5.9
1710,119819,34.0,78914,19.8,S,S
1711,15362433,5.7,12919296,6.7,2443137,4.8
1712,2548062,8.2,2195521,9.2,352541,6.2
1713,12115672,6.2,10138710,7.5,1976962,5.1
1714,698699,8.4,585065,8.2,113634,22.5
1715,3477851,11.3,3213339,12.9,264512,11.4
1716,387706,14.7,316018,19.5,71688,31.2
1717,2995235,13.0,2817977,14.6,177259,14.1
1718,S,S,S,S,S,S
1719,3657419,5.5,2922433,6.3,734987,7.1
1720,586528,19.3,481577,25.7,104951,13.0
1721,2857394,7.0,2272608,7.6,584786,7.8
1722,213498,27.8,168248,30.7,45250,32.9
1723,1180221,11.1,947003,13.7,233218,12.7
1724,443171,25.4,405858,30.1,37313,44.2
1725,701567,11.7,512808,13.7,188759,16.2
1726,S,S,S,S,S,S
1727,2929748,12.8,2652229,15.3,277518,27.9
1728,552760,24.7,499563,28.2,53196,35.2
1729,2348024,16.0,2123702,18.8,224322,31.5
1730,28964,2.9,28964,3.1,0,0.0
1731,2528319,9.8,2078336,10.8,449983,13.6
1732,406514,28.4,368616,33.4,37898,25.1
1733,1944364,8.3,1558336,9.1,386028,14.7
1734,177441,29.1,151384,24.0,S,S
1735,898722,24.9,631881,38.3,266841,11.5
1736,72439,26.5,33223,19.1,39216,43.4
1737,765124,27.7,545142,41.8,219982,9.2
1738,61159,42.4,S,S,7643,22.7
1739,1109046,13.4,824508,17.4,284537,16.4
1740,255800,26.1,231075,27.5,24726,22.7
1741,846156,15.2,591689,22.8,254467,17.1
1742,S,S,S,S,S,S
1743,1507949,12.4,1253656,14.3,254293,12.4
1744,1486862827,0.7,1369164816,0.8,117698011,0.9
1745,439668,29.5,428783,31.7,10885,25.6
1746,1038065,9.9,796741,13.0,241324,14.1
1747,S,S,S,S,S,S
1748,893645,14.8,783746,16.3,109898,19.4
1749,290658,43.3,284600,46.3,6058,29.7
1750,573462,10.0,471426,11.6,102035,21.6
1751,S,S,S,S,S,S
1752,S,S,S,S,S,S
1753,4942457,12.3,4076383,15.7,866074,12.1
1754,546091,43.7,516827,48.2,29264,14.1
1755,4146883,10.6,3340348,13.4,806535,13.7
1756,249483,32.3,219208,35.7,S,S
1757,93002152,2.2,85116364,2.5,7885789,3.6
1758,1013314938,1.0,913244438,1.1,100070500,0.9
1759,94096567,2.5,84733139,2.7,9363429,5.0
1760,1200413658,0.9,1083093941,1.0,117319717,1.0
1761,286449169,1.1,286070875,1.1,378294,20.8
1762,170492,16.7,113715,8.2,56777,43.8
1763,3921,9.3,2877,8.1,1044,27.8
1764,166571,17.1,110838,8.6,55733,44.6
1765,0,0.0,0,0.0,0,0.0
1766,13621050,2.9,9130029,4.1,4491022,3.2
1767,1699233,13.0,1244719,18.4,454514,11.9
1768,11132093,3.2,7231551,5.3,3900542,3.7
1769,789724,12.8,653759,16.1,135965,27.0
1770,4893937,9.8,4246252,12.0,647685,12.3
1771,31154,18.7,23779,24.7,7375,8.9
1772,S,S,S,S,S,S
1773,23812,12.6,17444,17.8,6368,10.0
1774,S,S,S,S,S,S
1775,421236,18.6,338990,24.1,82246,22.7
1776,140736,23.0,137157,24.8,S,S
1777,280341,28.5,201833,40.5,78507,24.4
1778,S,S,S,S,S,S
1779,30737,36.1,30737,37.6,0,0.0
1780,1586227,26.4,1482415,29.3,103812,47.1
1781,3276973,12.1,2733100,14.9,543873,12.4
1782,3380511,8.7,2840081,11.3,540430,14.6
1783,0,0.0,0,0.0,0,0.0
1784,S,S,S,S,S,S
1785,0,0.0,0,0.0,0,0.0
1786,15519264,6.3,9147355,10.5,6371909,2.6
1787,1813351,12.3,1149824,17.1,663527,9.6
1788,12978492,7.2,7506050,12.4,5472442,2.8
1789,727421,16.4,491481,24.9,235940,29.9
1790,S,S,S,S,S,S
1791,S,S,S,S,S,S
1792,1139689713,1.1,1039946849,1.2,99742865,1.2
1793,86454574,2.5,80054921,2.6,6399653,4.6
1794,965634206,1.1,880348689,1.3,85285517,1.0
1795,87600933,2.7,79543239,2.8,8057695,5.8
1796,1106476976,1.1,1012325408,1.2,94151569,1.2
1797,90341830,2.5,67131271,3.3,23210559,2.2
1798,12263580,5.4,10048251,7.0,2215329,4.3
1799,73665942,3.1,53684560,4.1,19981381,2.2
1800,4412308,9.8,3398460,11.9,1013849,11.4
1801,10635408,6.6,8063588,9.1,2571820,3.8
1802,6897071,6.5,5873065,7.8,1024005,6.8
1803,15126265,5.8,12749809,6.7,2376456,4.7
1804,1467694,12.7,1238408,14.5,229286,14.4
1805,1145050,14.2,908252,15.8,236798,15.6
1806,1200413658,0.9,1083093941,1.0,117319717,1.0
1807,286449169,1.1,286070875,1.1,378294,20.8
1808,8201960,8.0,7158917,9.7,1043043,11.7
1809,S,S,S,S,S,S
1810,3138067,14.3,2956371,16.8,181696,33.0
1811,4889313,8.2,4028117,9.8,861197,13.0
1812,1101869867,1.1,1008803753,1.3,93066115,1.2
1813,80563992,2.5,74893683,2.6,5670309,5.4
1814,936510929,1.2,856603507,1.4,79907422,1.0
1815,84794946,2.7,77306563,2.8,7488383,5.9
1816,1200413658,0.9,1083093941,1.0,117319717,1.0
1817,1151597007,1.0,1046032166,1.1,105564840,1.0
1818,86377906,2.3,79755132,2.4,6622774,4.7
1819,974688040,1.1,884399928,1.2,90288112,0.9
1820,90531061,2.7,81877106,2.8,8653954,5.1
1821,286449169,1.1,286070875,1.1,378294,20.8
1822,1474432,21.3,1379032,23.7,95400,7.7
1823,4077966,7.1,3731290,8.0,346676,4.8
1824,638007,7.5,606461,8.2,31546,17.0
1825,80011119,2.0,77131547,2.2,2879572,3.9
1826,10657043,6.0,9877664,6.4,779379,9.0
1827,63075533,3.0,61194309,3.2,1881224,2.5
1828,6278543,8.9,6059574,9.4,218969,10.8
1829,4823934,7.8,4636361,8.5,187572,8.2
1830,98047,32.8,94286,35.4,3760,36.9
1831,2374484,16.1,2339714,16.9,34769,25.0
1832,2351403,8.9,2202361,9.7,149043,7.3
1833,1246353667,0.7,1232784304,0.7,13569363,2.7
1834,113228894,2.2,111121949,2.3,2106944,5.3
1835,1050587600,0.7,1041377524,0.7,9210077,2.9
1836,82537173,4.8,80284831,4.8,2252342,15.0
1837,1271112392,0.7,1256279868,0.7,14832524,2.4
1838,117621227,2.3,115253970,2.4,2367256,4.5
